enemy0_champion,enemy1_champion,enemy2_champion,enemy3_champion,enemy4_champion,gameId,teammate0_champion,teammate0_championDaysSinceLastPlayed,teammate0_championPoints,teammate0_playerPastWeekLoseStreak,teammate0_playerPastWeekWinRate,teammate1_champion,teammate1_championDaysSinceLastPlayed,teammate1_championPoints,teammate1_playerPastWeekLoseStreak,teammate1_playerPastWeekWinRate,teammate2_champion,teammate2_championDaysSinceLastPlayed,teammate2_championPoints,teammate2_playerPastWeekLoseStreak,teammate2_playerPastWeekWinRate,teammate3_champion,teammate3_championDaysSinceLastPlayed,teammate3_championPoints,teammate3_playerPastWeekLoseStreak,teammate3_playerPastWeekWinRate,teammate4_champion,teammate4_championDaysSinceLastPlayed,teammate4_championPoints,teammate4_playerPastWeekLoseStreak,teammate4_playerPastWeekWinRate,win
145,254,103,50,24,3134739321,117,39,19456,1,0.6666666666666666,81,13,66442,1,0.6666666666666666,18,12,333060,1,0.625,246,0,18017,2,0.3157894736842105,245,4,94955,4,0.2978723404255319,False
8,246,102,40,51,3135516706,222,36,1315,2,0.25,117,39,19456,2,0.3333333333333333,61,26,45489,2,0.3333333333333333,29,50,79613,5,0.0,126,34,30927,3,0.46153846153846156,False
267,64,24,157,145,3135526576,81,12,124406,1,0.2641509433962264,141,50,3594,1,0.6666666666666666,40,45,51751,3,0.25,31,13,50928,3,0.25,240,51,29302,3,0.3333333333333333,False
22,245,8,81,113,3135580848,64,45,20442,5,0.1038961038961039,24,0,400581,9,0.14754098360655737,105,39,2692,2,0.3888888888888889,145,51,1859,2,0.5555555555555556,9,44,8866,4,0.2,False
121,79,45,39,157,3135589558,67,0,239355,5,0.19642857142857142,106,1,104317,2,0.2857142857142857,267,51,42203,5,0.16666666666666666,98,3,40053,4,0.55,84,49,29452,2,0.6,False
120,18,412,24,517,3140755580,59,4,148537,3,0.55,420,5,482222,5,0.36,40,45,51751,5,0.0,81,14,66442,3,0.0,157,1,93756,4,0.18181818181818182,False
84,67,268,59,9,3140786559,89,40,161286,6,0.0,236,29,49785,4,0.0,238,3,101584,4,0.4166666666666667,76,1,22102,3,0.391304347826087,80,45,17759,4,0.391304347826087,False
54,27,143,498,55,3140831292,20,0,86766,2,0.7333333333333333,240,0,220134,4,0.5714285714285714,43,36,39807,6,0.14285714285714285,22,41,21301,4,0.2,84,2,80795,2,0.1044776119402985,True
50,222,23,350,5,3140870966,89,40,161286,6,0.25,22,41,21301,4,0.3333333333333333,141,7,92747,2,0.25925925925925924,41,0,2089996,5,0.13559322033898305,105,1,505543,3,0.4642857142857143,True
51,99,78,76,246,3141541290,254,0,613937,4,0.06741573033707865,68,2,184822,4,0.25,43,36,39807,6,0.2222222222222222,110,21,64007,2,0.4230769230769231,517,5,13193,1,0.7,False
105,53,81,64,92,3141556890,9,44,8866,6,0.3,90,33,15497,0,1.0,80,43,3696,1,0.7727272727272727,58,13,3302,3,0.3548387096774194,222,13,75590,2,0.41379310344827586,True
82,145,111,60,157,3141634811,9,44,8866,6,0.36363636363636365,236,29,49785,4,0.42857142857142855,104,0,215255,0,1.0,58,2,93882,3,0.2692307692307692,266,7,62376,2,0.65,True
106,245,58,432,145,3141636777,82,44,7813,6,0.2,43,36,39807,6,0.4166666666666667,22,41,21301,4,0.5,104,0,215255,0,1.0,31,0,1431617,2,0.6111111111111112,True
77,61,236,8,111,3141654080,254,44,25128,2,0.3333333333333333,85,6,57738,2,0.5,31,0,1431617,2,0.631578947368421,43,36,39807,6,0.46153846153846156,22,41,21301,4,0.5555555555555556,True
16,51,114,79,39,3141685245,105,2,69429,1,0.8235294117647058,266,23,36964,2,0.375,89,40,161286,6,0.5,236,29,49785,4,0.6,90,5,585596,5,0.4444444444444444,True
59,31,24,43,145,3141717233,117,40,19456,6,0.5333333333333333,18,40,16344,4,0.6363636363636364,245,11,98378,4,0.42105263157894735,240,0,550963,1,0.5,104,3,108071,4,0.2391304347826087,True
99,119,24,412,254,3141744702,23,5,271106,7,0.18604651162790697,79,2,81957,3,0.45,112,41,1595,2,0.5833333333333334,89,40,161286,5,0.5333333333333333,18,40,16344,3,0.6363636363636364,False
60,119,38,111,99,3142471536,89,40,161286,2,0.6923076923076923,236,29,49785,2,0.7272727272727273,203,21,24505,2,0.4411764705882353,36,19,2169,1,0.28846153846153844,55,1,79626,2,0.4838709677419355,True
60,164,498,497,7,3142490827,114,41,26135,3,0.17307692307692307,29,43,270259,5,0.3,101,39,44421,2,0.5454545454545454,43,36,39807,2,0.6428571428571429,15,15,31716,2,0.6666666666666666,False
4,121,16,202,24,3142878100,103,42,49599,3,0.38461538461538464,43,36,39807,2,0.6,18,40,16344,2,0.6153846153846154,59,12,96745,2,0.3235294117647059,420,42,9089,8,0.14814814814814814,False
24,222,120,201,55,3142887601,89,40,161286,3,0.5625,21,3,28991,3,0.5714285714285714,16,42,1318,3,0.2857142857142857,7,0,297360,3,0.19444444444444445,157,22,132897,6,0.16666666666666666,False
61,122,121,222,111,3142937282,13,1,97605,5,0.1896551724137931,76,42,12818,7,0.35714285714285715,266,1,41559,4,0.25,54,36,40058,4,0.5294117647058824,18,40,16344,4,0.5333333333333333,False
43,145,32,131,119,3143828002,154,39,35481,2,0.5,8,11,37710,2,0.631578947368421,89,40,161286,4,0.5555555555555556,22,41,21301,4,0.5625,266,14,85125,0,1.0,True
90,202,16,266,28,3143859410,79,16,25974,2,0.5,517,31,9745,1,0.0,236,12,128194,6,0.125,89,40,161286,4,0.5263157894736842,21,3,28991,4,0.5294117647058824,False
517,267,119,103,104,3143920466,54,36,40058,4,0.5,79,14,11890,4,0.5,114,2,597606,4,0.27906976744186046,245,2,148056,4,0.35,51,1,40336,1,0.0,False
497,145,103,24,56,3143943525,114,2,597606,4,0.27906976744186046,245,2,148056,4,0.4,43,36,39807,4,0.5238095238095238,15,15,31716,4,0.5263157894736842,120,4,233047,1,0.6666666666666666,True
517,64,99,498,27,3143985146,20,2,140047,2,0.13793103448275862,245,0,60054,4,0.15492957746478872,18,41,17165,4,0.5454545454545454,43,23,34914,4,0.55,29,12,56801,2,0.6666666666666666,True
37,202,3,121,6,3144625244,236,8,24360,5,0.3157894736842105,102,5,6603,7,0.1320754716981132,266,0,24739,4,0.0,89,40,161286,4,0.4782608695652174,18,40,16344,4,0.5238095238095238,False
80,268,29,555,92,3144656776,157,0,842129,1,0.75,266,37,40874,4,0.3548387096774194,20,36,49009,3,0.5833333333333334,43,36,39807,4,0.4583333333333333,236,29,49785,4,0.5454545454545454,True
105,141,41,202,412,3144686232,117,40,19456,4,0.44,99,18,67758,4,0.4782608695652174,203,19,14851,4,0.25925925925925924,80,2,15725,3,0.5,29,40,146456,3,0.5,False
119,555,246,516,60,3147794139,266,0,30083,3,0.3,122,19,420750,5,0.3333333333333333,111,36,8679,4,0.35714285714285715,110,36,24925,4,0.35714285714285715,106,0,1183412,2,0.0,False
